animal_name,image_url,image_alternative,introduction,threat_paragraph
Large Brown Tree Frog,"https://www.zoo.org.au/media/1701/animal-detail-page_0005_large-brown-tree-frog-creditmichael-mcfadden.jpg?center=0.3411764705882353,0.225&mode=crop&quality=75&width=2000&height=570&rnd=132127407870000000",Close up side view of a large Brown Tree Frog gripping a stick. Frog is mottled different shades of brown with golden eyes.    ,The Large Brown Tree Frog is one of the least understood amphibian species in Victoria.,"['The mating call of the Large Brown Tree Frog sounds like a slow, reedy whistle made up of rapidly repeated notes—a call that distinguishes it from other frogs.', 'Until recently, the Large Brown Tree Frog hadn’t been seen in Victoria since 1996. The few sightings that have occurred have been at heavily disturbed sites.', 'Like all Australian frogs, the Large Brown Tree Frog is threatened by Chytridiomycosis, a skin infection caused by Chytrid fungus.']"
Leadbeater's Possum,https://www.zoo.org.au/media/2057/22861_leadbeater_s_possum_monitoring_offsite.jpg?anchor=center&mode=crop&quality=75&width=2000&height=570&rnd=132131644540000000,Close up view of the face of a Leadbeater Possum wrapped in blanket. Big eyes and fine facial details can be seen as it looks to the right of the camera.,"Once thought to be extinct, the Leadbeater's Possum was rediscovered in 1961.","The major threats
The loss of hollow-bearing trees is the possums' biggest threat. Hollows can take 150 years to develop in living trees, and old trees with suitable hollows have decreased due to logging and bushfires. The animal’s vulnerability to fire makes climate change a severe danger."
Lord Howe Island Stick Insect,"https://www.zoo.org.au/media/1983/7061_lord_howe_island_stick_insect_melbourne_zoo1.jpg?center=0.631578947368421,0.61&mode=crop&quality=75&width=2000&height=570&rnd=132131632950000000","Lord Howe Island Stick Insect on a persons hand. The insect has six legs, a long black body and two antennas on its head.","Once considered extinct, the Lord Howe Island Stick Insect was rediscovered in 2001 on Ball's Pyramid, a volcanic outcrop 23 km off the coast of Lord Howe Island.","The major threats 
The Lord Howe Island Stick Insect was driven to the brink of extinction by Black Rats early last century, and the rats remain a serious threat."
Mallee Emu-wren,https://www.zoo.org.au/media/1961/23483_mallee_emu-wren_offsite.jpg?anchor=center&mode=crop&quality=75&width=2000&height=570&rnd=132131595290000000,"Mallee Emu-wren in long dry grass looking at the camera. It has a bright orange head, white chest and a pale orange body.",The Mallee Emu-wren is particularly vulnerable to the impacts of bushfire.,"['In fact, it was a series of fires that caused the Mallee Emu-wren to become extinct in South Australia. The tiny songbird was recently moved from one location and successfully returned to its former range in that state. The Mallee Emu- wren also exists in three populations across Victoria’s largest Mallee parks.', 'It is a striking little bird. The male features a sky blue face and bib which contrasts with a rusty orange cap.', 'Bush fires are a significant risk for the Mallee Emu-wren. The bird’s restriction to a small number of locations has also prompted great concern.']"
Mountain Pygmy-possum,https://www.zoo.org.au/media/2058/16910_mountain_pygmy-possum_christmas_enrichment_2018_healesville_sanctuary.jpg?anchor=center&mode=crop&quality=75&width=2000&height=570&rnd=132131645290000000,Mountain Pygmy Possum standing on its hind legs holding a peanut that was given as a christmas gift.,Mountain Pygmy-possums were thought to be extinct until they were rediscovered at Mt Hotham in the 1960s.,"The major threats 
Climate change, the loss of habitat and predators, mainly feral cats and foxes, are all severe threats to the Mountain Pygmy-possum. 
An emerging threat is the reduction in the possum's key food source over spring, the Bogong Moth. This is a currently particular focus within the Mountain Pygmy-possum Recovery Team."
New Holland Mouse,https://www.zoo.org.au/media/1732/new-holland-mouse.jpg?anchor=center&mode=crop&quality=75&width=2000&height=570&rnd=132127425380000000,New Holland Mouse getting a health check wrapped in blanket with just its head peaking out.,The New Holland Mouse is classified as extinct in seven out of 12 of its known Victorian locations.,"The major threats
The New Holland Mouse is increasingly under threat from loss of habitat as well as predators such as feral cats and foxes. Dieback caused by Cinnamon Fungus to its food source is a major issue. Bushfires and the competition from introduced rodents also put this native mouse at risk."
Northern Corroboree Frog,https://www.zoo.org.au/media/1671/14621_northern_corroboree_frog_healesville_sanctuary.jpg?anchor=center&mode=crop&quality=75&width=2000&height=570&rnd=132127390300000000,Northern Corroboree Frog with its vivid yellow and black stripes sitting on wet pebbles.,"This little frog’s vivid lime green stripes separate it from the yellow striped Southern Corroboree Frog, but they are both at risk in the wild.","The major threats
The disease Chytridiomycosis, caused by chytrid fungus infection, is fatal to all frogs. The Northern Corroboree Frog is also affected by damage to its breeding sites by feral animals, fire, drought, weeds and logging. Climate change could also lead to the loss of breeding pools."
Orange-bellied Parrot,https://www.zoo.org.au/media/2059/22407_orange-bellied_parrot_healesville_sanctuary.jpg?anchor=center&mode=crop&quality=75&width=2000&height=570&rnd=132131646350000000,Orange Bellied Parrot side view looking to the left standing on a tree branch. The parrot is grass green with yellow and blue. As the name suggests it has an orange belly.,"One of only a few migratory parrot species in the world, the Orange-bellied Parrot is critically endangered.","The major threats
One of the main threats to the Orange-bellied Parrot is the lack of females in the wild. There has also been a recent outbreak of Beak and Feather disease in their breeding region. Other threats include habitat loss, and the increase of predators and noxious weeds."
Plains-wanderer,https://www.zoo.org.au/media/1761/11190_plains_wanderer_offsite.jpg?anchor=center&mode=crop&quality=75&width=2000&height=570&rnd=132127434520000000,"Plains Wanderer bird standing in dry grass. Side view of bird, with its body camouflaged in the grass,  looking toward camera.","In evolutionary terms, Plains-wanderers are one of a kind. There’s no bird like it in the world.","The major threats
The major threat to the survival of the Plains-wanderer is the loss of sparse native grasslands and the condition of the grassland habitat that remains. They like it just right. If the grass cover becomes too thick or too sparse they abandon the site."
Regent Honeyeater,"https://www.zoo.org.au/media/2055/22249_regent_honeyeater_melbourne_zoo.jpg?center=0.42690058479532161,0.39666666666666667&mode=crop&quality=75&width=2000&height=570&rnd=132131643320000000",Regent Honeyeater bird on a branch looking down. It is mostly black with yellow speckles.,"The Regent Honeyeater has been in decline since the 1940s, and its soft, metallic chiming call is rarely heard.","The major threats
The loss of the Box-Ironbark forests is the major reason for the diminishing number of Regent Honeyeaters. The forests have been cut down for agriculture, suffer from dieback, and have been removed for their timber. Many large, spreading trees in the woodlands have been lost through forestry practices."
Smoky Mouse,"https://www.zoo.org.au/media/1810/13940_smoky-mouse_healesville-sanctuary.jpg?center=0.50292397660818711,0.33&mode=crop&quality=75&width=2000&height=570&rnd=132127440630000000",Smoky Mouse in a sandy habitat with grass and leaves in the background.,"The Smoky Mouse, once commonly found in south eastern Australia, is sadly edging closer towards extinction.","['The Smoky Mouse eats seeds and fruit in summer, while underground fungi is on the winter menu. It lives in communal nests underground.', 'They are a gentle little mouse with a two-toned pink and grey tail and very soft blue-grey fur which gives them their name.', 'To breed, they require a stable habitat, with access to well-developed, diverse, and healthy under-storeys.']"
Southern Bent-wing Bat,https://www.zoo.org.au/media/3866/9290_southern-bent-wing-bat_healesville-sanctuary.jpg?anchor=center&mode=crop&quality=75&width=2000&height=570&rnd=132355004050000000,,This tiny micro-bat is critically endangered.,"The major threats
Although they are under threat by human disturbance of roosting caves and foraging habitat, we don't fully understand what's behind the steady decline in their numbers."
Southern Corroboree Frog,https://www.zoo.org.au/media/2054/1550_southern_corroboree_frog_melbourne_zoo.jpg?anchor=center&mode=crop&quality=75&width=2000&height=570&rnd=132131642710000000,Southern Corroboree Frog standing on pale green moss. Frog is bright yellow and black striped.,One of Australia’s best known frogs is critically endangered.,"Major threats
The main threat to the Southern Corroboree Frog is the disease  Chytridiomycosis, caused by infection with Amphibian Chytrid Fungus. This is a big cause of frog deaths worldwide. Another issue is climate change, which is having an effect on the frog’s alpine home environment."
Spotted Tree Frog,"https://www.zoo.org.au/media/1815/2372_spotted_tree-frog_offsite1.jpg?center=0.37,0.49333333333333335&mode=crop&quality=75&width=2000&height=570&rnd=132127444450000000",Spotted Tree Frog is gripping a fern leaf looking to the left. It is light green with a gold coloured line through its eye.,Populations of the Spotted Tree Frog have declined to the point that it is now critically endangered.,"Major threats
Like most Australian and international frogs, the Spotted Tree Frog is threatened by the disease, Chytridiomycosis. This is caused by the rapidly spreading Amphibian Chytrid Fungus. Populations of the Spotted Tree Frog are also affected by trout and disturbance to the habitat."
Stuttering Barred Frog,https://www.zoo.org.au/media/1816/22212_stuttering_frog_melbourne_zoo.jpg?anchor=center&mode=crop&quality=75&width=2000&height=570&rnd=132127444780000000,Stuttering Frog sitting on green moss. Frog is a golden olive-green with a black stripe through its eye.,Populations of Stuttering Barred Frogs are fast disappearing.,"Major threats
Logging, animal grazing and land clearing on its water catchment habitat threaten the existence of Stuttering Frogs.
Then there is Chytridiomycosis, a disease caused by the Amphibian Chytrid Fungus with no effective means of control. It’s a big cause of frog deaths worldwide.
Stuttering Barred Frogs are also in danger from introduced fish that prey on its eggs and tadpoles."
Swift Parrot,"https://www.zoo.org.au/media/1960/23484_swift_parrot_offsite.jpg?center=0.27666666666666667,0.59666666666666668&mode=crop&quality=75&width=2000&height=570&rnd=132131594410000000",Green Swift Parrot perched on a branch looking sideways towards the camera.,The Swift Parrot is critically endangered.,"['Unless we can solve the issues surrounding its continued existence, there’s a 31% likelihood the parrot will become extinct over the next 20 years.', 'Streamlined for speed, the Swift Parrot is one of the few truly migratory parrots in the world. The Swift Parrot is small, brightly coloured and feeds on nectar from flowering eucalypts. In autumn, the entire wild population migrates from Tasmania to Victoria’s Great Dividing Range.', 'Major habitat loss has created a serious problem for the Swift Parrot. More than 70% of the forests and woodlands they rely upon is no longer present.']"
Tasmanian Devil,https://www.zoo.org.au/media/1853/22521_tasmanian_devil_melbourne_zoo1.jpg?anchor=center&mode=crop&quality=75&width=2000&height=570&rnd=132127448850000000,Tasmanian Devil standing on a log with its mouth open showing its sharp teeth. Green bushy terrain in the background.,"Now listed as endangered, the Tasmanian Devil is the largest living carnivorous marsupial in the world.","Major threats
The survival of Tasmanian Devils is seriously threatened by Devil Facial Tumour Disease which develops rapidly and is fatal. 
Once the highly infectious cancerous tumours appear around the mouth, face and neck, the Devils generally die within three to six months. 
The other threat is cars (and their drivers) killing them on the roads."
Greater Glider,https://www.environment.vic.gov.au/__data/assets/image/0024/440367/Greater-Glider-black-Steve-Smith.jpg,Greater Glider,,"Species InformationThe Greater Glider is Australia’s largest gliding mammal. Greater Gliders have thick, dark grey-brown fur on their back and creamy white fur on their under-side, and can be found in different dark and light-coloured morphs. They have a long, furry prehensile tail and large furry ears.Greater Gliders are found along the east coast of mainland Australia, from central Queensland to central Victoria. Within Victoria, Greater Gliders are distributed throughout forested parts of eastern Victoria, including inland and southern falls of the Great Dividing Range, as well as the Strzelecki and Strathbogie Ranges. In eastern Victoria, Greater Gliders are absent from high altitude alpine and sub-alpine habitats, Wilson’s Promontory and cleared areas. They can be found as far west as Daylesford and the surrounding forested areas but do not occur in the Otway Ranges.Greater Gliders are forest dependent and prefer older tree age classes in moist forest types. They use hollow-bearing trees for shelter and nesting, with each family group using multiple den trees within its home range. They eat mainly young eucalypt leaves, with a preference for certain species.ThreatsGiven their high dependence on forest and large hollow-bearing trees, habitat loss and fragmentation through clearing and bushfires pose a threat to Greater Gliders. Climate change may also contribute to the contraction of suitable habitat. Fragmented populations have a reduced ability to recolonise suitable habitat and are at risk of genetic decline.Some populations have been found to have an increased risk of predation from Powerful Owls.What’s being doneThere has been an array of recent surveys conducted for the Greater Glider, including:surveys of the Strathbogie Ranges in 2017 to determine distribution and abundance;pre-harvest surveys of proposed timber coupes as part of the Forest Protection Survey Program; andlandscape scale surveys as part of the modernisation of Victoria’s Regional Forest Agreements.Parks Victoria manages large areas of suitable habitat for the Greater Glider in the parks and reserves system.Greater Gliders are among the species being monitored as part of the long-term monitoring of montane ash forests in the Central Highlands conducted by the Australian National University.The Arthur Rylah Institute (part of DELWP) has developed habitat distribution models to assist in predicting where suitable habitat might occur.The University of Melbourne is undertaking spatial analyses to identify the best areas for long-term protection.Greening Australia is leading revegetation work across private land to expand and link habitat in the Strzelecki Ranges as part of the National Landcare Program.More information on new measures to protect this species can be found in the Action Statement.Who’s helpingConserving Victoria's threatened species requires a collaborative approach. There are a number of organisations and groups working to protect Greater Gliders, these include:Arthur Rylah Institute, Department of Environment, Land, Water and PlanningAustralian National UniversityGreening AustraliaParks VictoriaUniversity of MelbourneResourcesGreater Glider Action Statement (PDF, 1.8 MB)"
Hooded Plover,https://www.environment.vic.gov.au/__data/assets/image/0030/428808/IMG_3825lr.jpg,Hooded Plover,"Species Information

Hooded Plovers are a resident shorebird found along the southern and eastern coasts of Australia. Hooded Plovers are ocean beach specialists, highly selective of beach habitats that support their survival and reproductive needs. Each pair occupies a distinct territory, and the species is widely dispersed.Hooded Plovers nest from August to March (and sometimes April), which overlaps with the peak period of human use of their beach habitats. They generally lay 1-3 eggs in a simple nest scrape on the beach above the high tide mark, foredune or dune, preferring open areas with sparse to no vegetation. Incubation is for 28 days and they use passive nest defence and heavy camouflage of the eggs to reduce the chances of predation.After hatching it takes 35 days until the chicks can fly. During this period, they are active on the beach needing to find their own food, being warned into hiding by calls from their parents. The chicks will run to cover and crouch until the perceived threat is gone and the parents call them out from hiding. The chicks require brooding in their first two weeks as they are unable to thermoregulate. They feed mostly at the water's edge and along the wrack line amongst beach cast seaweed. They commonly run from danger toward the dune and they crouch by or under shelter such as rocks, vegetation or beach debris.","Threats

Hooded Plovers often share their ocean beach habitats with people. Their habitat is suffering loss and degradation via coastal development, weed infestations and introductions of predators. Their nest defence strategy is to leave the nest when a predator approaches and stay distant from the eggs until the predator leaves and it is safe to return. If the adult remains away for too long or if disturbances are too frequent, the eggs can be exposed to harsh temperatures that lead to the death of the embryo inside or can be exposed to other approaching predators. People using beaches for recreation pose a high disturbance threat to incubating birds, and some threats have been identified as having higher disturbance impacts, for example dogs off leash and recreational activities."
